Time [s], Analyzer Name, Decoded Protocol Result
0.002706187500000,I2S / PCM,Ch 2: 0x00034D
0.002716625000000,I2S / PCM,Ch 1: 0x00056B
0.002727031250000,I2S / PCM,Ch 2: 0xFFFC36
0.002737468750000,I2S / PCM,Ch 1: 0x00046C
0.002747906250000,I2S / PCM,Ch 2: 0x0001FA
0.002758312500000,I2S / PCM,Ch 1: 0x0002D9
0.002768750000000,I2S / PCM,Ch 2: 0x0002C2
0.002779156250000,I2S / PCM,Ch 1: 0xFFFC9B
0.002789593750000,I2S / PCM,Ch 2: 0xFFFEBD
0.002800000000000,I2S / PCM,Ch 1: 0x0000CF
0.002810437500000,I2S / PCM,Ch 2: 0x000179
0.002820843750000,I2S / PCM,Ch 1: 0x00041D
0.002831281250000,I2S / PCM,Ch 2: 0x0002FA
0.002841687500000,I2S / PCM,Ch 1: 0x0004DA
0.002852125000000,I2S / PCM,Ch 2: 0x000446
0.002862531250000,I2S / PCM,Ch 1: 0x000652
0.002872968750000,I2S / PCM,Ch 2: 0x000458
0.002883375000000,I2S / PCM,Ch 1: 0xFFFC90
0.002893812500000,I2S / PCM,Ch 2: 0xFFFC36
0.002904250000000,I2S / PCM,Ch 1: 0x00046C
0.002914656250000,I2S / PCM,Ch 2: 0x0001FA
0.002925093750000,I2S / PCM,Ch 1: 0x0002D9
0.002935500000000,I2S / PCM,Ch 2: 0x0002C2
0.002945937500000,I2S / PCM,Ch 1: 0x0001C0
0.002956343750000,I2S / PCM,Ch 2: 0x0001A1
0.002966781250000,I2S / PCM,Ch 1: 0x0005AC
0.002977187500000,I2S / PCM,Ch 2: 0x000445
0.002987625000000,I2S / PCM,Ch 1: 0x000323
0.002998031250000,I2S / PCM,Ch 2: 0x00050B
0.003008468750000,I2S / PCM,Ch 1: 0x00020B
0.003018875000000,I2S / PCM,Ch 2: 0x0002D9
0.003029312500000,I2S / PCM,Ch 1: 0x000490
0.003039750000000,I2S / PCM,Ch 2: 0x000593
0.003050156250000,I2S / PCM,Ch 1: 0x00047D
0.003060593750000,I2S / PCM,Ch 2: 0xFFFFF3
0.003071000000000,I2S / PCM,Ch 1: 0x000488
0.003081437500000,I2S / PCM,Ch 2: 0x0004A0
0.003091843750000,I2S / PCM,Ch 1: 0x0001B1
0.003102281250000,I2S / PCM,Ch 2: 0x000065
0.003112687500000,I2S / PCM,Ch 1: 0x0001C0
0.003123125000000,I2S / PCM,Ch 2: 0x0001A1
0.003133531250000,I2S / PCM,Ch 1: 0x0005AC
0.003143968750000,I2S / PCM,Ch 2: 0xFFFEC9
0.003154375000000,I2S / PCM,Ch 1: 0x0002EB
0.003164812500000,I2S / PCM,Ch 2: 0x0001EF
0.003175218750000,I2S / PCM,Ch 1: 0x000106
0.003185656250000,I2S / PCM,Ch 2: 0x00012F
0.003196093750000,I2S / PCM,Ch 1: 0xFFFDC5
0.003206500000000,I2S / PCM,Ch 2: 0xFFFDFA
0.003216937500000,I2S / PCM,Ch 1: 0x0001E5
0.003227343750000,I2S / PCM,Ch 2: 0xFFFFF3
0.003237781250000,I2S / PCM,Ch 1: 0x000488
0.003248187500000,I2S / PCM,Ch 2: 0x0004A0
0.003258625000000,I2S / PCM,Ch 1: 0x0001B1
0.003269031250000,I2S / PCM,Ch 2: 0x000065
0.003279468750000,I2S / PCM,Ch 1: 0x000296
0.003289875000000,I2S / PCM,Ch 2: 0x0002B4
0.003300312500000,I2S / PCM,Ch 1: 0xFFFC05
0.003310718750000,I2S / PCM,Ch 2: 0xFFFBE3
0.003321156250000,I2S / PCM,Ch 1: 0x00037A
0.003331593750000,I2S / PCM,Ch 2: 0x000382
0.003342000000000,I2S / PCM,Ch 1: 0xFFFE16
0.003352437500000,I2S / PCM,Ch 2: 0xFFFEC8
0.003362843750000,I2S / PCM,Ch 1: 0xFFFE49
0.003373281250000,I2S / PCM,Ch 2: 0xFFFEFE
0.003383687500000,I2S / PCM,Ch 1: 0x000454
0.003394125000000,I2S / PCM,Ch 2: 0x000722
0.003404531250000,I2S / PCM,Ch 1: 0x0002A7
0.003414968750000,I2S / PCM,Ch 2: 0x000274
0.003425375000000,I2S / PCM,Ch 1: 0x000559
0.003435812500000,I2S / PCM,Ch 2: 0x0004D1
0.003446218750000,I2S / PCM,Ch 1: 0x000296
0.003456656250000,I2S / PCM,Ch 2: 0x0002B4
0.003467062500000,I2S / PCM,Ch 1: 0xFFFC05
0.003477500000000,I2S / PCM,Ch 2: 0x000080
0.003487906250000,I2S / PCM,Ch 1: 0x000009
0.003498343750000,I2S / PCM,Ch 2: 0xFFFF5E
0.003508781250000,I2S / PCM,Ch 1: 0xFFFEEB
0.003519187500000,I2S / PCM,Ch 2: 0xFFFDF9
0.003529625000000,I2S / PCM,Ch 1: 0xFFFB03
0.003540031250000,I2S / PCM,Ch 2: 0xFFFB2F
0.003550468750000,I2S / PCM,Ch 1: 0x000613
0.003560875000000,I2S / PCM,Ch 2: 0x000722
0.003571312500000,I2S / PCM,Ch 1: 0x0002A7
0.003581718750000,I2S / PCM,Ch 2: 0x000274
0.003592156250000,I2S / PCM,Ch 1: 0x000559
0.003602562500000,I2S / PCM,Ch 2: 0x0004D1
0.003613000000000,I2S / PCM,Ch 1: 0xFFFFF1
0.003623406250000,I2S / PCM,Ch 2: 0x00000B
0.003633843750000,I2S / PCM,Ch 1: 0xFFFE81
0.003644281250000,I2S / PCM,Ch 2: 0xFFFEC3
0.003654687500000,I2S / PCM,Ch 1: 0x0006E1
0.003665125000000,I2S / PCM,Ch 2: 0x00066D
0.003675531250000,I2S / PCM,Ch 1: 0x000636
0.003685968750000,I2S / PCM,Ch 2: 0x000727
0.003696375000000,I2S / PCM,Ch 1: 0x000354
0.003706812500000,I2S / PCM,Ch 2: 0x0003A4
0.003717218750000,I2S / PCM,Ch 1: 0x000021
